Hora	P_332	P_333	P_334	P_335	PU_332	PU_333	PU_334	PU_335
0	1874.98	2362.16	2436.46	2622.8	0.8431423689180682	0.674204573834243	0.7221869002363857	0.7749171251130113
1	1934.42	2462.84	2552.34	2782.2	0.8698713913121683	0.702940525883906	0.7565346908832226	0.8220125154374789
2	1903.32	2393.24	2484.66	2684.14	0.8558863207122942	0.6830753862071426	0.7364737789831713	0.793040282217797
3	1858.84	2329.9	2372.68	2591.84	0.8358845219893875	0.6649969674265939	0.7032819806000785	0.7657698648592752
4	1827.8	2267.46	2277.12	2490.38	0.8219264322331143	0.6471754254522102	0.674957206055621	0.7357930875548807
5	1740.28	2246.66	2186.16	2401.32	0.782570375033726	0.6412387170430625	0.647995909565836	0.7094799416182616
6	1753.62	2203.84	2079.2	2313.5	0.7885691159276912	0.6290170894430769	0.6162920807119726	0.6835331588184198
7	1827.54	2097.58	1889.76	2168.56	0.8218095152441766	0.5986885011951907	0.5601404975212858	0.6407100353954063
8	1936.18	2232.52	2007.88	2154.0	0.8706628293911323	0.6372028969995361	0.5951522426990937	0.6364082230796958
9	1954.18	2244.94	2178.08	2216.84	0.8787570824714452	0.6407477969246138	0.6456009307219764	0.6549745613983254
10	1962.04	2337.06	2259.78	2304.12	0.8822915729831818	0.6670405651289736	0.6698174866060512	0.6807617989611833
11	1949.86	2408.18	2375.44	2296.96	0.87681446173217	0.6873395411894823	0.7041000674328821	0.6786463473004355
12	2013.26	2560.76	2591.54	2552.44	0.9053242198039392	0.7308887223946627	0.7681538951752144	0.7541289716423114
13	2083.1	2800.94	2729.76	2921.12	0.9367299217555535	0.7994405793999072	0.8091234466353957	0.863057004922266
14	2122.1	2953.16	2926.06	3209.08	0.9542674700962316	0.8428870098826216	0.867308390577181	0.948135979814573
15	2136.62	3125.36	3052.0	3348.9	0.960796834247684	0.8920361054621999	0.9046380484479322	0.9894463780276664
16	2128.9	3171.38	3068.76	3384.62	0.9573252990376832	0.9051710728174391	0.9096058510993043	1.0
17	2054.1	3105.36	3155.5	3384.16	0.9236891806817159	0.8863277319918657	0.9353163046780636	0.9998640910944212
18	1913.1	2881.02	3320.92	3246.26	0.8602841982192642	0.8222969067751258	0.9843481611571779	0.959120964835048
19	1846.18	2656.92	3175.7	2990.0	0.8301915639895674	0.75833458204003	0.9413037517877124	0.8834078862619733
20	1785.74	2398.82	2834.32	2696.04	0.8030128608687831	0.684668022405366	0.8401158956346473	0.7965561865142912
21	1903.0	2449.94	2719.4	2685.8	0.8557424228797553	0.6992586249955404	0.806052656929655	0.7935307360944509
22	1927.34	2515.46	2443.48	2751.84	0.8666876517672452	0.7179592564843555	0.7242676863111249	0.8130425276692805
23	1939.06	2567.5	2384.5	2834.5	0.8719579098839823	0.7328124442541654	0.7067855263840414	0.8374647670934995
24	2053.375	2653.85	2470.8	2919.7	0.92336316215487	0.7574583467123336	0.7323655603227887	0.8626374600398272
25	2039.975	2585.475	2448.075	2929.275	0.9173374404173036	0.7379428449106282	0.7256296823244336	0.8654664334548635
26	2013.825	2515.425	2381.4	2846.35	0.9055782894145157	0.7179492668307824	0.7058666607385012	0.8409658986828654
27	1986.375	2453.925	2284.025	2765.4	0.8932345534670383	0.7003960184095045	0.6770039051789936	0.8170488858424284
28	1948.675	2382.925	2202.2	2651.75	0.8762815900710494	0.6801312925898177	0.6527502982608244	0.7834705225401966
29	1815.05	2225.775	1803.65	2961.0	0.8161930029678927	0.6352777480466659	0.5346167811543621	0.8748397161276599
30	1549.725	2408.4	1596.55	3114.825	0.6968814641604459	0.687402333297656	0.47323062786682374	0.9202879496073414
31	1824.6	2220.45	1866.15	2347.1	0.8204874539077254	0.6337578936101894	0.5531422982015428	0.6934604180085209
32	2015.25	2084.975	1909.0	2291.175	0.9062190844500404	0.5950907988155125	0.56584339268909	0.6769371450857113
33	2074.05	2257.125	2142.1	2338.45	0.9326603111790629	0.644225623461415	0.6349361610682555	0.6909047396753549
34	2020.375	2381.375	2286.4	2446.05	0.9085236981742961	0.6796888936458668	0.6777078748267865	0.7226956054150836
35	2025.05	2478.2	2410.15	2501.1	0.9106259555715441	0.7073245567091226	0.7143883985802044	0.7389603559631509
36	1996.075	2749.1	2636.925	2708.65	0.8975964565158737	0.7846444753648008	0.7816063846341952	0.8002818632520047
37	2124.6	2963.75	2789.2	3017.725	0.9553916719129417	0.8459095936351636	0.8267419543679464	0.8915993523645195
38	2163.675	3118.025	2945.375	3236.15	0.9729629463081212	0.8899425594919548	0.8730335163654418	0.9561339234537408
39	2105.35	3179.2	2983.775	3230.15	0.9467353179242737	0.9074030468443397	0.8844155940392296	0.9543611985983657
40	2135.425	3223.875	2967.3	3266.9	0.9602594657792967	0.9201541260836991	0.8795322677455929	0.9652191383375387
41	2147.95	3185.6	3043.75	3274.725	0.9658917168810143	0.9092297263548468	0.9021926801977044	0.9675310670030904
42	2026.275	2946.5	3164.75	3144.125	0.9111768144617322	0.8409861215170003	0.9380580812010464	0.9289447559844237
43	1925.35	2657.075	3038.525	2901.775	0.8657927871211438	0.758378821934425	0.90064394697256	0.8573414445343939
44	1821.6	2388.55	2717.4	2584.6	0.8191384117276732	0.6817367726283493	0.8054598403841452	0.7636307768671224
45	1915.3667	2521.0667	2907.6	2723.5667	0.8613034895224391	0.7195595133611616	0.8618366938621257	0.8046890640603672
46	1986.7	2563.1333	2582.3333	2831.5667	0.8933806997032107	0.7315661065325199	0.7654249531304418	0.8365981114571207
47	2064.1667	2652.3	2501.6333	2918.9	0.9282159816530263	0.7570159477683828	0.741504805519122	0.8624010967257772
48	2223.8	2759.2667	2565.7	2975.6667	1.0	0.7875462413928431	0.7604947054072279	0.8791730534003818
49	2203.4333	2715.6333	2618.3333	2978.2667	0.9908414875438438	0.7750924542438189	0.776095650949618	0.8799412341710444
50	2169.5333	2643.2667	2571.0	2922.2333	0.9755973109092544	0.7544376752649042	0.7620656692528288	0.8633859340191808
51	2116.4667	2594.3333	2449.4333	2842.8667	0.9517342836586022	0.7404711691462413	0.7260322936813167	0.8399367432680774
52	2091.8333	2504.5333	2352.4667	2749.2333	0.9406571184459033	0.7148405722644404	0.697290591260402	0.8122723673558627
53	2012.5333	2479.8	2271.1667	2617.8	0.9049974368198579	0.7077812265867495	0.6731925986854294	0.7734398544001986
54	2037.7	2395.3333	2167.8	2400.4	0.9163144167640974	0.6836728531164151	0.6425538536780562	0.709208123807104
55	1908.2333	2136.3	1997.5667	2176.7333	0.858095737026711	0.6097399122337579	0.5920952952596907	0.6431248707388126
56	2050.2667	2263.6333	2040.1333	2122.7	0.921965419552118	0.6460832138142638	0.6047123876427392	0.6271605084174885
57	2065.3333	2327.6333	2207.2	2057.0333	0.9287405791887758	0.6643500089193335	0.6542323396245989	0.6077590098740775
58	2100.0667	2341.5	2301.2	2133.1333	0.9443595197409838	0.6683078240393878	0.6820947172635587	0.6302430701230862
59	2108.4	2397.7667	2423.9333	2216.0	0.94810684414066	0.6843673909165507	0.7184738827260669	0.6547263799185729
60	1958.45	2361.975	2222.275	2174.275	0.8806772191743861	0.6741517713796424	0.658700694336379	0.6423985558201512
61	2052.25	2650.0	2378.05	2549.1	0.9228572713373504	0.7563594848192943	0.7048736930247724	0.7531421548061525
62	2094.6	2726.5	2508.825	2795.175	0.9419012501124201	0.7781940133433229	0.7436364848942933	0.8258460329372279
63	2035.725	2806.55	2508.425	2878.125	0.9154262973288964	0.8010417781583361	0.7435179215851915	0.8503539540627899
64	1979.15	2801.95	2364.25	2748.275	0.889985610216746	0.7997288522601591	0.7007832588607549	0.811989233651045
65	1952.875	2876.675	2794.675	2888.5	0.8781702491231225	0.8210567626386956	0.8283647896612796	0.8534192907918762
66	1874.125	2748.375	2987.85	2770.35	0.8427578918967532	0.7844375468265011	0.8856234577507058	0.818511383848113
67	1828.25	2553.85	2874.9	2583.225	0.8221287885601223	0.7289164793606622	0.8521441433430408	0.7632245274210989
68	1791.0	2381.85	2684.125	2362.675	0.8053781814911413	0.6798244675157872	0.7955968551082261	0.6980621162789324
69	1846.625	2496.925	2628.825	2415.15	0.8303916719129417	0.7126690213707232	0.7792054776248805	0.7135660724099013
70	1907.425	2591.275	2410.8	2542.725	0.8577322600953322	0.7395982732170252	0.7145810639574951	0.7512586346473163
71	1960.925	2662.85	2353.05	2604.275	0.8817901789729291	0.7600271147739841	0.6974634862059	0.7694438371220403
72	2076.25	2632.9	2286.275	2472.9	0.9336496087777677	0.7514788255021585	0.6776708237926921	0.7306285491428876
73	2041.625	2524.75	2226.225	2395.55	0.9180794136163323	0.7206107959613258	0.6598715070137607	0.7077751712156757
74	1996.65	2435.925	2138.35	2317.3	0.897855022933717	0.6952584822862036	0.6338246300454246	0.6846558845601575
75	1934.95	2336.775	2053.4	2262.475	0.8701097220973109	0.6669592208070213	0.6086447472748965	0.6684576111941666
76	1908.4	2240.525	1983.425	2194.3	0.8581706988038492	0.6394876734810375	0.5879035783888729	0.648315025024966
77	1803.0	2239.15	1926.2	2115.35	0.8107743502113499	0.639095222804952	0.5709416149804741	0.6249889204696539
78	1836.375	2229.725	1866.45	2053.05	0.8257824444644302	0.6364051518070569	0.5532312206833693	0.6065821273880082
79	1961.225	2139.225	1671.575	2136.025	0.8819250831909343	0.6105747618537942	0.4954686585302596	0.6310974348671343
80	1989.825	2173.675	1749.475	2111.9	0.8947859519740984	0.6204074351564451	0.5185588629778657	0.6239696036778132
81	2045.05	2168.65	1941.7	2161.1	0.9196195701052252	0.6189732063220237	0.5755359432081749	0.6385059474918898
82	2012.275	2215.4	2102.15	2228.7	0.9048812842881554	0.63231652930893	0.6230946505716976	0.658478647529117
83	2042.15	2308.25	2249.875	2304.275	0.9183154959978415	0.658817653144957	0.666881562664414	0.6808075943532804
84	2031.225	2508.55	2445.35	2481.525	0.9134027340588181	0.7159870134503551	0.7248219697811766	0.7331768411224894
85	2013.8	2720.2	2530.375	2732.475	0.9055670473963485	0.7763958757001677	0.7500240831721614	0.807321058198557
86	1995.475	2883.475	2589.175	2853.725	0.8973266480798632	0.8229976096186092	0.7674528896101491	0.8431448729842641
87	2029.625	2872.525	2629.2	2929.5	0.9126832448961236	0.8198722751436013	0.7793166307271636	0.86553291063694
88	1955.575	2711.375	2448.65	2797.05	0.8793843870851695	0.7738770559063827	0.7258001170812678	0.8264000094545326
89	1969.025	2823.475	2752.35	2951.55	0.8854325928590701	0.8058724892076063	0.8158193095169286	0.872047674480444
90	1846.325	2726.8	2974.85	2904.75	0.8302567676949365	0.7782796389453781	0.8817701502048922	0.8582204206085173
91	1791.875	2523.95	2880.8	2718.225	0.8057716521269898	0.7203824610225124	0.8538929521522947	0.8031108366670409
92	1716.125	2281.25	2668.4	2459.775	0.7717083370806727	0.6511113489600057	0.7909358350191554	0.7267507135217544
93	1843.175	2379.7	2594.65	2537.85	0.8288402734058817	0.6792108173677263	0.7690757249034821	0.7498182957023241
94	1873.375	2456.65	2373.725	2639.925	0.8424206313517402	0.7011737842948376	0.7035917272451074	0.7799767773043946
95	1943.525	2597.425	2317.175	2709.5	0.8739657343286267	0.741353598059153	0.6868298394208183	0.8005329992731829
96	2051.675	2695.925	2320.025	2743.825	0.9225987049195071	0.7694673374005495	0.6876746029981697	0.8106744627166417
97	2038.675	2639.525	2291.35	2717.25	0.9167528554726143	0.7533697242142068	0.6791750957769231	0.8028227688780425
98	1995.075	2573.375	2217.4	2650.725	0.8971467757891897	0.7344892789610761	0.6572557040066989	0.78316768204407
99	1960.975	2512.125	2122.475	2547.075	0.8818126630092633	0.7170073852081772	0.6291191487154406	0.7525438601674633
100	1918.25	2441.0	2020.525	2449.35	0.8626000539616872	0.6967069820543009	0.5989003253080794	0.7236706040855398
101	1863.425	2637.95	1954.875	2333.6	0.8379463081212338	0.7529201898034178	0.5794411222017206	0.6894717870839266
102	1913.475	2763.4	1877.825	2258.275	0.8604528284917707	0.7887259623960898	0.5566028647859562	0.667216703795404
103	1916.175	2204.525	1658.075	2292.35	0.8616669664538177	0.6292126012344358	0.4914671468480686	0.6772843037032222
104	1968.475	2421.55	1841.725	2202.675	0.8851852684593937	0.6911555888544009	0.5459025261395045	0.6507894534689271
105	2032.075	2551.6	2038.725	2235.375	0.9137849626764997	0.7282742873452496	0.6042949558722184	0.660450803930722
106	2014.325	2599.325	2172.125	2219.325	0.9058031297778577	0.7418958935388347	0.6438358194577211	0.6557087649425932
107	2022.825	2671.15	2294.0	2283.55	0.9096254159546722	0.7623960897641728	0.6799605776997236	0.674684307248672
108	2019.4	2852.125	2489.525	2451.725	0.9080852594657792	0.8140497342038603	0.737915805230124	0.7243723076741259
109	1946.575	3008.65	2647.95	2805.55	0.875337260545013	0.8587248920760641	0.7848742858413178	0.8289113696663142
110	1988.275	3173.95	2847.15	3155.075	0.8940889468477381	0.905904598808377	0.8439188137740925	0.9321799788454833
111	2109.6	3358.3	3011.0	3268.55	0.9486464610126809	0.9585215312711834	0.8924853092649816	0.9657066376727669
112	2109.7	3503.625	3065.9	3320.55	0.9486914290853492	1.0	0.9087581234392252	0.9810702530860186
113	2054.375	3450.125	3177.0	3338.15	0.9238128428815541	0.9847301009668558	0.9416890825422938	0.9862702459951191
114	1897.625	3133.95	3373.725	3247.425	0.8533253889738285	0.8944878518677084	1.0	0.9594651689111334
115	1816.125	2893.825	3205.775	3015.275	0.8166764097490781	0.8259516928895072	0.9502182305908159	0.8908754897152413
116	1752.075	2609.95	2876.2	2671.5	0.7878743592049644	0.7449284669449499	0.852529474097622	0.7893057418558066
117	1871.925	2655.1	2761.2	2660.3	0.8417685942980483	0.7578151200542296	0.8184425227308094	0.7859966554591062
118	1926.55	2682.2	2479.1	2747.75	0.8663324039931648	0.7655499661065325	0.7348257489866542	0.8118341202261997
119	1959.525	2708.75	2396.075	2810.775	0.8811606259555715	0.7731278318884013	0.7102164521411792	0.8304551175612034
120	1935.12	2613.46	2347.82	2606.4	0.8701861678208471	0.7459302864889935	0.695913270939392	0.7700716771749857
121	1903.72	2612.7	2324.44	2582.58	0.8560661930029678	0.7457133682971208	0.6889832455223825	0.7630339594991461
122	1862.68	2557.72	2299.1	2545.1	0.8376112959798543	0.7300210496271718	0.6814722598907735	0.7519603382359024
123	1832.58	2494.28	2252.14	2503.92	0.8240759061066641	0.7119140889792716	0.6675529274022037	0.7397935366451773
124	1813.14	2443.48	2194.08	2459.5	0.8153341127799262	0.6974148203646223	0.6503434630860547	0.7266694636325496
125	1755.94	2387.24	2146.68	2389.6	0.7896123752135983	0.6813628741660422	0.6362937109574728	0.7060172190674285
126	1759.78	2303.32	2070.04	2318.6	0.791339149204065	0.6574105390845196	0.6135769809335379	0.6850399749454887
127	1727.22	2096.86	1886.48	2232.36	0.7766975447432323	0.5984829997502586	0.5591682783866498	0.6595600096908959
128	1767.0	2163.24	1879.46	2225.56	0.794585844050724	0.6174290912982981	0.5570874923119105	0.6575509215214707
129	1774.84	2176.54	2020.7	2233.24	0.7981113409479269	0.6212251596560705	0.5989521967558115	0.6598200093363509
130	1750.96	2237.36	2117.18	2248.62	0.7873729651947117	0.6385843233793571	0.6275496669112035	0.6643640940489627
