tension	ID_Bus	Coord_X	Coord_Y	modelo	estado
13,2 kV	1.0	2562945.1899095066	6493592.460218013	NULL	NULL
13,2 kV	2.0	2563453.4418116105	6493495.65599126	Fusible	Cerrado
13,2 kV	3.0	2564123.9048387473	6495508.8692859	NULL	NULL
13,2 kV	4.0	2563925.988355576	6494399.056387617	NULL	NULL
13,2 kV	5.0	2565288.788569265	6494441.950754364	Fusible	Abierto
13,2 kV	6.0	2563599.7223209175	6505656.793832316	NULL	NULL
13,2 kV	7.0	2563599.998523557	6505671.312863871	Fusible	Cerrado
13,2 kV	8.0	2563601.1797261727	6505642.300838245	NULL	NULL
13,2 kV	9.0	2564076.7733224053	6505548.1142711835	NULL	NULL
13,2 kV	10.0	2562135.325941641	6505573.416025048	NULL	NULL
13,2 kV	11.0	2563140.5371560617	6505642.014444052	NULL	NULL
13,2 kV	12.0	2563174.4586390685	6505655.278522064	NULL	NULL
13,2 kV	13.0	2563233.7472173255	6505699.639566479	NULL	NULL
13,2 kV	14.0	2563263.8658273886	6505710.771311539	NULL	NULL
13,2 kV	15.0	2563277.10637838	6505706.649463289	NULL	NULL
13,2 kV	16.0	2563288.1762502766	6505701.732601341	NULL	NULL
13,2 kV	17.0	2563437.439610797	6505672.533568811	Fusible	Cerrado
13,2 kV	18.0	2566413.086536938	6503636.964654938	NULL	NULL
13,2 kV	19.0	2563306.1288871197	6497865.2860234445	NULL	NULL
13,2 kV	20.0	2563421.847774569	6496308.399222847	NULL	NULL
13,2 kV	21.0	2563397.7553407676	6496358.3357152045	NULL	NULL
13,2 kV	22.0	2563361.961856484	6496437.169465616	NULL	NULL
13,2 kV	23.0	2563207.240415713	6496769.849437058	NULL	NULL
13,2 kV	24.0	2563168.28961188	6497006.750027346	NULL	NULL
13,2 kV	25.0	2563165.8419659846	6497054.461566676	NULL	NULL
13,2 kV	26.0	2563168.6937535815	6497097.901255642	NULL	NULL
13,2 kV	27.0	2563172.137548584	6497124.631396583	NULL	NULL
13,2 kV	28.0	2565074.701224397	6499914.9016478155	NULL	NULL
13,2 kV	29.0	2573272.90446587	6494087.650234993	NULL	NULL
13,2 kV	30.0	2573319.9132206636	6494076.737354193	Fusible	Cerrado
13,2 kV	31.0	2566248.9097692817	6499000.105216462	NULL	NULL
13,2 kV	32.0	2567436.5167697244	6506199.629600372	NULL	NULL
13,2 kV	33.0	2567668.738818083	6505925.029629858	NULL	NULL
13,2 kV	34.0	2567647.5280423667	6505840.21611153	NULL	NULL
13,2 kV	35.0	2575671.7605813835	6492208.439212312	NULL	NULL
13,2 kV	36.0	2575672.396262617	6492202.039849515	Fusible	Cerrado
13,2 kV	37.0	2575143.9832292073	6493663.485481	NULL	NULL
13,2 kV	38.0	2575139.6838045525	6493630.304530675	Fusible	Cerrado
13,2 kV	39.0	2574693.886890386	6494429.618861016	NULL	NULL
13,2 kV	40.0	2574724.4867493846	6494423.362895279	Fusible	Cerrado
13,2 kV	41.0	2573231.89395231	6494096.737730325	Fusible	Cerrado
13,2 kV	42.0	2571785.8069756627	6493063.889862342	Fusible	Cerrado
13,2 kV	43.0	2570489.9763603657	6493308.226243392	NULL	NULL
13,2 kV	44.0	2570435.9135536994	6493011.521990761	NULL	NULL
13,2 kV	45.0	2567116.3289231607	6496713.740461994	Fusible	Cerrado
13,2 kV	46.0	2567075.355040472	6496480.750609007	NULL	NULL
13,2 kV	47.0	2566981.092608358	6495960.668322156	NULL	NULL
7,6 kV	48.0	2573762.141195982	6496703.433154215	NULL	NULL
7,6 kV	49.0	2573755.2382648787	6496666.778065838	Fusible	Cerrado
13,2 kV	50.0	2571528.2182040582	6498541.852470952	NULL	NULL
13,2 kV	51.0	2571521.996339036	6498512.768741388	NULL	NULL
13,2 kV	52.0	2572225.687006671	6498345.108797722	NULL	NULL
13,2 kV	53.0	2572726.7612186135	6498239.295263254	Cuchilla-Fusible	Cerrado
13,2 kV	54.0	2563236.3372311564	6502948.591719511	NULL	NULL
13,2 kV	55.0	2572767.0243078414	6498189.3344597	Cuchilla	Cerrado
13,2 kV	56.0	2572806.1417181664	6498223.155823082	NULL	NULL
13,2 kV	57.0	2572827.152677318	6498236.427665654	Fusible	Cerrado
13,2 kV	58.0	2563188.60022648	6502954.134779036	NULL	NULL
13,2 kV	59.0	2563183.2702946663	6502974.940142308	NULL	NULL
13,2 kV	60.0	2563137.682743743	6502977.911151295	NULL	NULL
13,2 kV	61.0	2563051.568001434	6502970.354804024	NULL	NULL
13,2 kV	62.0	2562884.5657025143	6502924.503655476	NULL	NULL
13,2 kV	63.0	2562593.6043743035	6502833.611678406	NULL	NULL
13,2 kV	64.0	2561924.5735580865	6502610.580323984	NULL	NULL
13,2 kV	65.0	2564562.8732493464	6502690.169182431	NULL	NULL
