id	codigo_nue	tension	fases	modelo	ubicacion	dato_org	estado	observacio	fecha_act	gener_dato	x	y	Calibre_re	Calibre_co	distribuid
316	C214	13,2 kV	3	Cuchilla	OVIEDO Y CASEROS - POZO DE LOS ALGARROBOS	DigitalizaciÃƒÂ³n	Cerrado	NULL	NULL	DECSA	2570515.638110756	6493292.921488515	NULL	NULL	DE LOS RIOS
3	F059	13,2 kV	3	Fusible	RUTA 20 FRIG.COOPERATIVA	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2567277.7146659633	6499841.11106524	NULL	NULL	DE LOS RIOS
4	C024	13,2 kV	3	Cuchilla	P.A SARMIENTO Y ALEM	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2567695.7359369546	6499326.462677526	NULL	NULL	DE LOS RIOS
341	F204	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	DE LOS RIOS
5	F035	13,2 kV	3	Fusible	P.A.DE SARMIEN.F/BGA.SANTORO	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2568135.745939195	6499233.418309809	NULL	NULL	DE LOS RIOS
7	C054	13,2 kV	3	Cuchilla	P.A.DE SARMIENTO F/BGA.TORRAGA	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2568427.9349216777	6499171.975710305	NULL	NULL	DE LOS RIOS
8	CF008	13,2 kV	3	Cuchilla-Fusible	J.J.BUSTOS A/P.A. SARMIENTO	DigitalizaciÃƒÂ³n	Abierto	INTERCONEXION C.CENTRO-COOP.	PyQt5.QtCore.QDate(2020, 7, 5)	DECSA	2568931.5683782767	6499008.097172623	NULL	NULL	DE LOS RIOS
9	F110	13,2 kV	3	Fusible	P.SANJUANINAS Y SALTA	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2570471.0503199333	6500046.706750632	NULL	NULL	DE LOS RIOS
10	F039	13,2 kV	3	Fusible	R. CALIVAR A/J.J. BUSTOS	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2569558.650623045	6501622.774511795	NULL	NULL	DE LOS RIOS
11	F100	13,2 kV	3	Fusible	J.J.BUSTOS AL NORTE DE R.CALIVAR	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2569515.96547074	6501660.369161369	NULL	NULL	DE LOS RIOS
12	C117	13,2 kV	3	Cuchilla	P.A.DE SARMIENTO AL OESTE DE CASEROS	DigitalizaciÃƒÂ³n	Abierto	INTERCONEXION C.CENTRO-SANTA ROSA	PyQt5.QtCore.QDate(2020, 8, 5)	DECSA	2571453.432480546	6498529.218571827	NULL	NULL	DE LOS RIOS
199	F081	13,2 kV	3	Fusible	RUTA 20 BARRIO JUSTO CASTRO IV SEC.SUR	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2566174.6624576775	6501207.837872368	NULL	NULL	DE LOS RIOS
200	F125	13,2 kV	3	Fusible	RUTA 20 BÃ‚Âº LAS MORITAS	DigitalizaciÃƒÂ³n	Cerrado	NULL	PyQt5.QtCore.QDate(2019, 9, 1)	DECSA	2566006.1404837416	6501404.472553115	NULL	NULL	DE LOS RIOS
