modelo	codigo_nue	ID_Linea	ID_Tramos	EstadoB_1	EstadoB_2
Fusible	F035	913	1458.0	Cerrado	NULL
Cuchilla-Fusible	CF008	751	1158.0	NULL	Abierto
Fusible	F110	838	1526.0	Cerrado	NULL
Fusible	F039	830	1516.0	Cerrado	NULL
Fusible	F100	1055	1815.0	NULL	Cerrado
Fusible	F081	894	1596.0	Cerrado	NULL
Fusible	F125	588	979.0	NULL	Cerrado
Fusible	F089	571	950.0	Cerrado	NULL
Fusible	F173	573	952.0	Cerrado	NULL
Fusible	F058	575	957.0	NULL	Cerrado
Fusible	F084	576	958.0	Cerrado	NULL
Fusible	F007	231	1555.0	Cerrado	NULL
Fusible	F132	771	1181.0	Cerrado	NULL
Fusible	F230	1038	1759.0	Cerrado	NULL
Fusible	F076	1035	1755.0	Cerrado	NULL
Fusible	F078	805	1221.0	Cerrado	NULL
Fusible	F016	908	1448.0	Abierto	NULL
Fusible	F167	731	1140.0	Cerrado	NULL
Fusible	F135	182	1777.0	NULL	Cerrado
Fusible	F144	747	1154.0	Cerrado	NULL
Fusible	F022	752	1160.0	NULL	Cerrado
Fusible	F150	754	1162.0	Cerrado	NULL
Fusible	F024	755	1164.0	NULL	Abierto
Fusible	F145	688	1089.0	Abierto	NULL
Fusible	F018	700	1104.0	Cerrado	NULL
Cuchilla-Fusible	CF128	671	1068.0	Cerrado	NULL
Fusible	F052	324	433.0	Cerrado	NULL
Fusible	F174	88	1543.0	NULL	Cerrado
Fusible	F185	357	470.0	Cerrado	NULL
Fusible	F055	359	472.0	Cerrado	NULL
Cuchilla-Fusible	XF138	361	474.0	Abierto	NULL
Fusible	F172	885	1436.0	Cerrado	NULL
Fusible	F029	203	165.0	Abierto	NULL
Cuchilla-Fusible	CF009	225	1588.0	Abierto	NULL
Fusible	F152	368	481.0	Cerrado	NULL
Fusible	F077	387	503.0	Cerrado	NULL
Fusible	F130	129	1772.0	Cerrado	NULL
Fusible	F006	335	446.0	Cerrado	NULL
Fusible	F096	92	1548.0	NULL	Cerrado
Fusible	F114	323	432.0	NULL	Cerrado
Fusible	F190	312	421.0	Cerrado	NULL
Fusible	F045	402	525.0	Abierto	NULL
Fusible	F043	422	543.0	NULL	Cerrado
Fusible	F112	128	1771.0	NULL	Cerrado
Fusible	F075	411	535.0	Cerrado	NULL
Fusible	F072	143	120.0	Cerrado	NULL
Cuchilla-Fusible	CF018	1072	1810.0	Abierto	NULL
Fusible	F002	762	1171.0	Cerrado	NULL
Fusible	F071	779	1184.0	Cerrado	NULL
Fusible	F070	886	1438.0	Cerrado	NULL
Fusible	F113	796	1225.0	Cerrado	NULL
Fusible	F099	989	1710.0	Cerrado	NULL
Fusible	F105	233	1557.0	NULL	Cerrado
Fusible	F106	824	1510.0	Cerrado	NULL
