ID_Seta	seta	usuario_su	gu_sum	usuarios_t	distribuid	num_int	conexion	tension	kva	num_fabr	marca_traf	mod_traf	gener_dato	observacio	fecha_act	x	y	multa_esti	ID_Bus
2	2.0	7.0	0.0	7.0	SANTA ROSA	294	3.0	13,2	16.0	918	SELTON	CN 276	DECSA	SETA RECONSTRUIDA	02/12/2020	2568288.3846386974	6495792.61118197	100	404.0
9	10.0	117.0	3.0	120.0	URBANO	513	3.0	13,2	200.0	25201	MIRON	CN 276	DECSA	NULL	27/11/2017	2569850.444225547	6497515.126873568	100	1084.0
69	79.0	57.0	1.0	58.0	URBANO	466	3.0	13,2	125.0	51404	MAYO	CN 280	DECSA	NULL	27/11/2017	2569077.1647553886	6497477.755326903	100	1080.0
70	80.0	95.0	2.0	97.0	URBANO	531	3.0	13,2	200.0	25650	MIRON	CN 276	DECSA	NULL	27/11/2017	2568276.4939090763	6498046.053172773	100	1130.0
74	84.0	40.0	1.0	41.0	URBANO	498	3.0	13,2	100.0	36134	VASILE	CN 280	DECSA	NULL	27/11/2017	2568617.425451119	6497458.06997774	100	1107.0
75	85.0	115.0	0.0	115.0	COOPERATIVA	474	3.0	13,2	250.0	23534	MIRON	CN 276	DECSA	NULL	27/11/2017	2568974.0256117554	6498719.581934272	100	1556.0
76	86.0	86.0	4.0	90.0	COOPERATIVA	530	3.0	13,2	160.0	25649	MIRON	CN 280	DECSA	NULL	02/12/2020	2567878.0766856717	6498952.235197542	100	1162.0
77	87.0	106.0	0.0	106.0	COOPERATIVA	529	3.0	13,2	160.0	25648	MIRON	CN 280	DECSA	SETA NUEVA, LMT Y SECC NUEVO	13/03/2018	2568330.2019392587	6498841.543305098	100	1179.0
78	200.0	41.0	2.0	43.0	COOPERATIVA	396	3.0	13,2	200.0	20067	MIRON	CN 280	DECSA	NULL	27/11/2017	2567734.961534315	6499200.390018002	100	1166.0
94	278.0	12.0	1.0	13.0	DE LOS RIOS	105	3.0	13,2	63.0	30798/14	ELECTRODINE	CN 276	DECSA	NULL	27/11/2017	2563703.86244674	6502833.012638209	100	852.0
97	337.0	1.0	2.0	3.0	SANTA ROSA	13	3.0	13,2	100.0	30955/11	ELECTRODINE	CN 280	DECSA	NULL	27/11/2017	2570625.035027636	6497359.911313052	100	493.0
108	531.0	1.0	0.0	1.0	SANTA ROSA	201	1.0	7,6	5.0	17747	T.CZERWENY	CN 282	DECSA	NULL	27/11/2017	2572592.8132924577	6497221.421390117	100	484.0
109	540.0	4.0	0.0	4.0	DE LOS RIOS	295	2.0	13,2	10.0	1144/655	LET	CN 282	DECSA	NULL	27/11/2017	2567647.5280423667	6505840.21611153	100	34.0
110	541.0	10.0	0.0	10.0	DE LOS RIOS	271	3.0	13,2	25.0	13030	VASILE	CN 282	DECSA	NULL	27/11/2017	2567436.5167697244	6506199.629600372	100	32.0
111	551.0	2.0	0.0	2.0	DE LOS RIOS	599	3.0	13,2	25.0	83696	MAYO	CN 280	DECSA	NULL	27/11/2017	2566820.442615375	6498160.830247096	100	767.0
117	594.0	4.0	2.0	6.0	DE LOS RIOS	65	3.0	13,2	200.0	25275	MIRON	CN 276	DECSA	NULL	27/11/2017	2562135.861790331	6505574.949012897	100	10.0
122	637.0	6.0	0.0	6.0	DE LOS RIOS	177	3.0	13,2	80.0	30548/2	ELECTRODINE	CN 276	DECSA	NULL	27/11/2017	2564707.1691796933	6504007.907652336	100	886.0
123	644.0	0.0	1.0	1.0	SANTA ROSA	179	3.0	13,2	75.0	30201/15	ELECTRODINE	CN 276	DECSA	NULL	27/11/2017	2574706.6299100867	6492431.5383275	100	436.0
127	656.0	47.0	0.0	47.0	DE LOS RIOS	242	3.0	13,2	80.0	2122	TRAFO	CN 276	DECSA	NULL	27/11/2017	2561962.3436486274	6507103.346850793	100	1764.0
128	659.0	6.0	1.0	7.0	DE LOS RIOS	336	3.0	13,2	16.0	128	RUAR	CN 280	DECSA	NULL	27/11/2017	2567185.1340495045	6503471.297170373	100	934.0
130	781.0	3.0	1.0	4.0	DE LOS RIOS	115	3.0	13,2	80.0	1676	T.MENDOZA	CN 276	DECSA	NULL	27/11/2017	2565121.0490090027	6503921.311917999	100	887.0
131	784.0	1.0	1.0	2.0	SANTA ROSA	8	3.0	13,2	160.0	2568	MIRAS	CN 276	DECSA	NULL	27/11/2017	2572225.6870066705	6498345.108797721	100	52.0
132	805.0	11.0	0.0	11.0	DE LOS RIOS	361	3.0	13,2	40.0	39776	MAYO	CN 280	DECSA	NULL	27/11/2017	2565378.2787428163	6505278.388779858	100	880.0
133	821.0	1.0	1.0	2.0	SANTA ROSA	2	3.0	13,2	40.0	4970	TRAFO	CN 280	DECSA	NULL	27/11/2017	2572806.1417181664	6498223.155823082	100	56.0
134	828.0	25.0	4.0	29.0	SANTA ROSA	252	3.0	13,2	80.0	30677.1	ELECTRODINE	CN 282	DECSA	NULL	27/11/2017	2566566.334365059	6497350.810074516	100	1580.0
13	14.0	209.0	0.0	209.0	URBANO	437	3.0	13,2	315.0	29861	VASILE	CN 276	DECSA	NULL	27/11/2017	2568426.914572906	6497650.860598432	100	1128.0
14	15.0	237.0	1.0	238.0	URBANO	465	3.0	13,2	315.0	55520	MAYO	CN 276	DECSA	NULL	27/11/2017	2568201.317507519	6497667.61214491	100	1134.0
15	17.0	314.0	0.0	314.0	COOPERATIVA	391	3.0	13,2	400.0	40494	MAYO	CN 276	DECSA	NULL	27/11/2017	2567779.6904573347	6497705.831784526	100	1506.0
