seta,tension,kva,ID_Bus,P.Activa,P.Reactiva
3,"13,2",315,60,233.900000000000006,113.299999999999997
6,"13,2",250,7,179.000000000000000,86.700000000000003
7,"13,2",400,59,192.400000000000006,93.200000000000003
8,"13,2",160,49,83.500000000000000,40.399999999999999
9,"13,2",250,37,163.000000000000000,79.000000000000000
10,"13,2",200,22,154.900000000000006,75.000000000000000
12,"13,2",315,28,210.300000000000011,101.900000000000006
13,"13,2",315,30,119.200000000000003,57.700000000000003
14,"13,2",315,69,317.600000000000023,153.800000000000011
15,"13,2",315,75,141.599999999999994,68.599999999999994
47,"13,2",100,88,54.500000000000000,26.399999999999999
57,"13,2",315,67,236.000000000000000,114.299999999999997
59,"13,2",315,79,205.300000000000011,99.500000000000000
60,"13,2",200,78,156.900000000000006,76.000000000000000
69,"13,2",315,34,185.300000000000011,89.700000000000003
70,"13,2",315,135,105.400000000000006,51.100000000000001
71,"13,2",200,32,159.500000000000000,77.299999999999997
72,"13,2",200,9,100.799999999999997,48.799999999999997
74,"13,2",160,108,87.400000000000006,42.299999999999997
75,"13,2",100,21,71.700000000000003,34.700000000000003
76,"13,2",315,53,154.300000000000011,74.700000000000003
79,"13,2",125,33,90.900000000000006,44.000000000000000
80,"13,2",200,71,125.700000000000003,60.899999999999999
81,"13,2",400,73,157.199999999999989,76.099999999999994
82,"13,2",315,136,33.600000000000001,16.300000000000001
84,"13,2",100,47,54.700000000000003,26.500000000000000
89,"13,2",200,11,115.099999999999994,55.700000000000003
91,"13,2",200,56,60.000000000000000,29.100000000000001
92,"13,2",63,65,5.300000000000000,2.600000000000000
93,"13,2",63,63,3.200000000000000,1.600000000000000
96,"13,2",315,97,152.900000000000006,74.099999999999994
116,"13,2",75,109,,
128,"13,2",315,134,36.100000000000001,17.500000000000000
129,"13,2",160,117,37.100000000000001,18.000000000000000
130,"13,2",160,132,33.399999999999999,16.199999999999999
131,"13,2",160,131,21.899999999999999,10.600000000000000
132,"13,2",315,130,42.700000000000003,20.699999999999999
335,"13,2",315,86,9.300000000000001,4.500000000000000
840,"13,2",160,13,44.200000000000003,21.399999999999999
2943,"13,2",200,119,141.099999999999994,68.299999999999997
3009,"13,2",315,4,68.200000000000003,33.000000000000000
3022,"13,2",63,127,,
