id,latitud,longitud
100,-31.656395929565747,-68.29006832603258
1,-31.655222440397967,-68.28220625599647
77,-31.655194744781145,-68.28236408960377
2,-31.657235644693532,-68.28295570006748
3,-31.65718986339382,-68.28294036241599
123,-31.65017638580424,-68.28100205094586
4,-31.649983464552587,-68.28216958886816
80,-31.64851701503463,-68.28061767707857
5,-31.64858236786688,-68.28025603690972
48,-31.662771676427163,-68.27684571903565
51,-31.662740654960402,-68.27701344736934
6,-31.669874339326178,-68.27842063347936
60,-31.668129466525517,-68.27805584649332
61,-31.664135702215557,-68.27718391888418
57,-31.664181217164064,-68.27688660201922
58,-31.664370266645548,-68.27565161872985
7,-31.664213542127868,-68.27561644340152
17,-31.658953632930253,-68.27312686183559
36,-31.658996899587816,-68.27313782103506
18,-31.659190806894344,-68.27187843932762
19,-31.65932384099163,-68.27190878780203
105,-31.659649624419664,-68.26923301771059
8,-31.659667024143936,-68.26924861834753
27,-31.6597739174853,-68.26926938846196
29,-31.66319579190915,-68.269934294264
31,-31.663228184305407,-68.26974603185178
95,-31.658057735583494,-68.2782044114309
66,-31.65781057620065,-68.2780911572097
9,-31.66347887805333,-68.26419727806552
25,-31.66081065607845,-68.26363431140145
91,-31.6458145763945,-68.27998493976573
85,-31.645800428129146,-68.28005966687482
88,-31.643607493672654,-68.27932453901208
89,-31.642876535368504,-68.27914208494538
93,-31.64541374135149,-68.27978255632311
10,-31.645479563270175,-68.2797176092642
52,-31.662623263212897,-68.27770636399205
54,-31.662672087428035,-68.27771654713383
35,-31.6647316568547,-68.272538061008
11,-31.665681926848496,-68.27276111146755
46,-31.66139186633602,-68.27654493703237
64,-31.661394372990003,-68.27630415609262
45,-31.662444296308372,-68.2767743494446
62,-31.662517974661757,-68.27658740318181
99,-31.65646442650422,-68.28968251542972
101,-31.65650468530384,-68.2894530312283
103,-31.65613219755683,-68.28932306059987
12,-31.656419745498134,-68.28768303652312
13,-31.656545427557813,-68.28696617025629
120,-31.657282036769768,-68.2826860904505
137,-31.657653756221585,-68.28052570161384
94,-31.657838862437696,-68.27946210268543
14,-31.65822802524297,-68.27722433630214
15,-31.658498188403534,-68.27566943302834
42,-31.65850599097743,-68.27562450846483
16,-31.658908854471356,-68.2733443294425
104,-31.65931352237455,-68.27119389785862
20,-31.660282760461506,-68.27212269196323
33,-31.66095218545403,-68.27164800093104
84,-31.659787940234487,-68.26844270972245
21,-31.659806628868182,-68.2683359266407
26,-31.660551214815552,-68.26357911648428
22,-31.660568378219867,-68.26349774548629
23,-31.660673206363164,-68.26294889576587
24,-31.660625368298863,-68.26293879064356
28,-31.66227601183872,-68.269755590685
30,-31.665614074286605,-68.27044201515585
32,-31.6632913886579,-68.26937866507461
34,-31.663045057654582,-68.27214035927587
37,-31.659069434451848,-68.27315620463293
38,-31.66012526800855,-68.27340237600953
39,-31.65972069499031,-68.27579197036317
40,-31.658846957317838,-68.2759632488889
41,-31.65862651557973,-68.27591023937855
43,-31.659658644887262,-68.27615845502987
47,-31.661157280263073,-68.276493801565
44,-31.660001096089424,-68.27623507968353
50,-31.66284468601281,-68.27686105008621
49,-31.66292029950942,-68.27687672099671
