ID Nodo,Generador a incorporar,Capacitor a incorporar,ID Carga,Perfil de carga,ID Transformador,Potencia [kVA],ID Linea,I Nominal [A]
6,,,300162,PC01_IndMin2024_30,TR_300162,5000.0,13446853,141.0
3819265_P_1,,,300165,PC01_IndMin2024_30,TR_300165,5000.0,13555564,545.0
3819265_P_2,,,300166,PC01_IndMin2024_30,TR_300166,5000.0,13555570,545.0
3810140_P_1,GBio01_0100,,300167,PC01_IndMin2024_30,TR_300167,5000.0,13555616,545.0
3810140_P_2,,,300168,PC01_IndMin2024_30,TR_300168,5000.0,13555627,545.0
3810149_P_1,,,300170,PC01_IndMin2024_30,TR_300170,5000.0,13555633,545.0
3810149_P_2,,,300171,PC01_IndMin2024_30,TR_300171,5000.0,13555649,545.0
3838518_P_1,,,300180,PC01_IndMin2024_30,TR_300180,5000.0,13555660,545.0
3838518_P_2,,,300181,PC01_IndMin2024_30,TR_300181,5000.0,13555666,545.0
3747428_P_1,,,300183,PC01_IndMin2024_30,TR_300183,5000.0,13602024,545.0
3747428_P_2,,,300185,PC01_IndMin2024_30,TR_300185,5000.0,13602065,545.0
3806703_P_1,,,300188,PC01_IndMin2024_30,TR_300188,5000.0,13602070,545.0
3806703_P_2,,,300189,PC01_IndMin2024_30,TR_300189,5000.0,13602075,235.0
3806706_P_1,,,300190,PC01_IndMin2024_30,TR_300190,5000.0,13912616,277.0
3806706_P_2,,Cap01_0050,300191,PC01_IndMin2024_30,TR_300191,5000.0,13912631,545.0
3812590_P_1,,,300192,PC01_IndMin2024_30,TR_300192,5000.0,13981264,545.0
3812590_P_2,,,300193,PC01_IndMin2024_30,TR_300193,5000.0,13981269,545.0
3806721_P_1,,,300194,PC01_IndMin2024_30,TR_300194,5000.0,13981274,545.0
3806721_P_2,,,300200,PC01_IndMin2024_30,TR_300200,5000.0,13981279,545.0
3823263_P_1,,,300204,PC01_IndMin2024_30,TR_300204,5000.0,13981284,545.0
3823263_P_2,,,300215,PC01_IndMin2024_30,TR_300215,5000.0,13981290,545.0
3808184_P_1,,,300217,PC01_IndMin2024_30,TR_300217,5000.0,13981299,545.0
3808184_P_2,,,300220,PC01_IndMin2024_30,TR_300220,5000.0,13981304,545.0
4002335_P_1,,,300221,PC01_IndMin2024_30,TR_300221,5000.0,13981309,545.0
4002335_P_2,,,300225,PC01_IndMin2024_30,TR_300225,5000.0,13981314,545.0
14070073_P_1,,,300226,PC01_IndMin2024_30,TR_300226,5000.0,13981324,545.0
14070073_P_2,,,300227,PC01_IndMin2024_30,TR_300227,5000.0,13981329,545.0
4002336_P_1,,,300231,PC01_IndMin2024_30,TR_300231,5000.0,13981334,545.0
4002336_P_2,,,300244,PC01_IndMin2024_30,TR_300244,5000.0,13981339,545.0
3806768_P_1,,,300245,PC01_IndMin2024_30,TR_300245,5000.0,13981344,545.0
3806768_P_2,,,300246,PC01_IndMin2024_30,TR_300246,5000.0,13981349,545.0
3806374_P_1,,,300247,PC01_IndMin2024_30,TR_300247,5000.0,13981354,545.0
3806374_P_2,,Cap02_0100,301698,PC01_IndMin2024_30,TR_301698,5000.0,14016067,195.0
3817748_P_1,,,301733,PC01_IndMin2024_30,TR_301733,5000.0,14016068,195.0
3817748_P_2,,,301774,PC01_IndMin2024_30,TR_301774,5000.0,14016081,195.0
3806239_P_1,,,301775,PC01_IndMin2024_30,TR_301775,5000.0,14016088,195.0
3806239_P_2,,,301776,PC01_IndMin2024_30,TR_301776,5000.0,14016095,195.0
3822095_P_1,,,301777,PC01_IndMin2024_30,TR_301777,5000.0,14016207,229.0
3822095_P_2,,,301778,PC01_IndMin2024_30,TR_301778,5000.0,14016214,229.0
3806259_P_1,,,301858,PC01_IndMin2024_30,TR_301858,5000.0,14016221,229.0
3806259_P_2,,,301881,PC01_IndMin2024_30,TR_301881,5000.0,14016237,195.0
3808226_P_1,,,301908,PC01_IndMin2024_30,TR_301908,5000.0,14016246,195.0
3808226_P_2,,,301938,PC01_IndMin2024_30,TR_301938,5000.0,14016254,229.0
3832430_P_1,GFV01I_0100,,302313,PC01_IndMin2024_30,TR_302313,5000.0,14016261,229.0
3832430_P_2,,,302318,PC01_IndMin2024_30,TR_302318,5000.0,14070073,277.0
3837814_P_1,,,302407,PC01_IndMin2024_30,TR_302407,5000.0,16144232,229.0
3837814_P_2,,,302434,PC01_IndMin2024_30,TR_302434,5000.0,16144242,160.0
